show_id,genres
7171,Sci-Fi & Fantasy
34953,Drama
46531,
32349,Documentary
37843,Reality
44595,Sci-Fi & Fantasy
44595,Animation
44595,Drama
209168,Animation
209168,Comedy
39703,Documentary
65625,Crime
65625,Mystery
79821,Comedy
84439,Mystery
49767,Drama
195741,Animation
31862,
46246,Drama
45429,Drama
45429,Crime
32469,Kids
32469,Action & Adventure
32469,Comedy
30892,Crime
30892,Drama
30892,Mystery
95300,Drama
101709,
45214,Sci-Fi & Fantasy
45214,Animation
93114,Documentary
216125,Comedy
216125,Drama
79843,Comedy
59791,Crime
59791,Drama
195327,Animation
195327,Action & Adventure
195327,Sci-Fi & Fantasy
195327,Comedy
35307,Comedy
34365,Drama
34365,Sci-Fi & Fantasy
34365,Family
30937,
52106,Documentary
52106,Reality
256207,Documentary
126825,Talk
34558,Documentary
34558,Reality
44308,Drama
44308,War & Politics
33036,Action & Adventure
33036,Drama
33036,Comedy
73026,Drama
51434,Comedy
51434,Drama
127083,Drama
127083,War & Politics
124581,Drama
254058,Documentary
139113,Drama
108625,Drama
246690,
72958,Comedy
72958,Drama
40116,Drama
40116,War & Politics
52910,Reality
1399,Sci-Fi & Fantasy
1399,Drama
1399,Action & Adventure
52823,Talk
122801,
39084,Talk
34307,Drama
34307,Comedy
37680,Drama
61781,Talk
61781,Reality
77290,Comedy
63935,Comedy
63935,Drama
46806,Drama
37606,Animation
37606,Family
37606,Sci-Fi & Fantasy
37606,Comedy
39686,Drama
46825,Animation
46825,Comedy
46825,Talk
32726,Animation
32726,Comedy
68845,Comedy
68845,Drama
38657,Comedy
38657,Talk
38657,Reality
65145,
41956,Comedy
41956,Crime
41956,Drama
41956,Mystery
34524,Sci-Fi & Fantasy
34524,Drama
34524,Comedy
46154,Family
46154,Drama
46154,Soap
69106,Comedy
